Title,Authors,Abstract,Notes,Inc/Exc,Year,Source title,Volume,Issue,Database
A Mobile Game-Based English Vocabulary Practice System Based on Portfolio Analysis,"Wu, Ting-Ting; Huang, Yueh-Min","English learning has become a vital educational strategy in many non-English-speaking countries. Vocabulary is a critical element for language learners. Therefore, developing sufficient vocabulary knowledge enables effective communication. However, learning a foreign language is difficult and stressful. In addition, memorizing English vocabulary is often considered boring, and learners may lack motivation for learning activities. To increase English learning motivation and interest, this study constructed a mobile game-based English vocabulary practice system that entails selecting words according to textbook passages, a difficulty ratio, and learning portfolios. The learning activities involved in the system transform vocabulary learning from tedious memorization to game-based learning, thereby enhancing learners' vocabulary memory and their familiarity with curriculum-related vocabulary through various multimedia. An experiment was conducted by dividing students into three groups that involved different vocabulary review methods. All students had similar English proficiency levels, and the course content and instructor were the same for all groups. This study statistically analyzed whether learners become familiar with vocabulary after playing the game. According to the analysis results, students who used the proposed system exhibited higher learning interest, attention, and learning effectiveness, as well as a sense of accomplishment and triumph, compared with other students.","Inclusion:
  - Game based learning
  - English teaching
  - Validation
Exclusion:
Research Question:
  - Elements:
    - Mobile
    - Scoring
    - Ranking
    - Block-clearing game
    - vocabulary, sentences and listening
    - Database to save students interactions data
  - Validation:
    - 3 groups, one playing the game
    - Pre/Post tests
  - Results:
    - Anxiety reduced
    - Understanding enhanced",INC,2017,EDUCATIONAL TECHNOLOGY & SOCIETY,20,2,WOS
A mobile instructional pervasive game method for language learning,"Chang, Ching; Shih, Ju-Ling; Chang, Chih-Kai","In this paper, a mobile instructional pervasive game (M-IPG) learning method is proposed for improving students' learning achievements with respect to vocabulary, grammar, reading, and writing. An experiment was conducted to evaluate the effectiveness of the proposed approach in an EFL course at a university school. A total of 137 university students participated in the experiment, 67 of whom were assigned to the experimental group and followed with the M-IPG approach, whilst 70 students were in the control group and was taught with the mobile inquiry-based instruction. From the empirical obtained, it was found that the proposed approach could effectively promote students' learning achievement, as well as decrease their cognitive load of learning and perceptions of the use of M-IPG learning. It was found from the interviews that most of the participants perceived the M-IPG learning method to be a stimulating though challenging learning task that facilitated them in improving their location-based learning in the aspects of language learning and practice, learning contents recall, and confidence in using the language.","Inclusion:
  - Game based learning
  - English teaching
  - Validation
  - Pervasive game
  - Geo located
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Map route
    - Multiple choice
    - Feedback
    - QR Codes
    - Capture flag
  - Validation:
    - Experiment/Control group
    - Pre/Post tests
    - Survey
  - Results:
    - Similar prior knowledge
    - Significant effect
    - Intense and focused learning atmosphere",INC,2017,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY,16,3,WOS
A physical interactive game for learning English of children,"Shin S.-I., Park K.","As English is the universal language used by international society with immense interest, we ought to seek for more effective teaching method. One way to reach such goal is to utilize a physical interactive game in teaching English. A physical interactive game encourages the spontaneous activity in learning without the psychological burden while promoting interest in English and basic usage of English. Also, physical movement interface can stimulate learners' motivation while inducing positive response in interest and immersion. In this thesis, we will design interface using 3D depth camera to produce a physical interactive game for learning English of children by capturing the movement of children and creating a gesture that will trigger children's interest. Also, we will create a physical interactive game environment high in user interaction with the content and apply such method to introduce prototype of English learning game. © 2014 Springer-Verlag.","Inclusion:
Exclusion:
  - One Topic
  - Not Related
Research Question:",EXC,2014,Lecture Notes in Electrical Engineering,276 LNEE,,Scopus
A study on integrating augmented reality technology and game-based learning model to improve motivation and effectiveness of learning English vocabulary,"Chen S.-Y., Hung C.-Y., Chang Y.-C., Lin Y.-S., Lai Y.-H.","This study mainly focuses on developing a game-based learning system with the augmented reality technology, which is applied to English curriculums in primary schools. Through the interactions of voice, graphics and real-world environments, students can learn common vocabulary of each English letter, and then discuss the impact on learning motivation and effectiveness. The purpose is combining the particularities of high interactivity, immersion and authenticity of the augmented reality with the game-based learning model to expect for attracting more people to invest in developing the augmented reality applications for the game-based learning. The system is evaluated by three experts with English education background. Through the quasi-experimental research method, there are 46 second grade students of primary school divided into the control group and experiment group to be investigated for learning motivation and learning effectiveness by questionnaire individually. The results show that it is significant in improving students' motivation and effectiveness through the augmented reality-based English learning system. © 2018 IEEE.","Inclusion:
  - Game based learning
  - English teaching
  - Augmented reality
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - ARCS (Attention, Relevance, Confidence, Satisfaction)
    - Present theoretical ideas but not implementation approach
  - Validation:
    - Experiment/Control group
    - Pre/Post tests
    - Survey
  - Results:
    - Stronger motivation
    - Achieve higher effectiveness",INC,2018,"Proceedings - 2018 1st International Cognitive Cities Conference, IC3 2018",,,Scopus
Adaptive systems as enablers of feedback in English language learning game-based environments,"Gavriushenko M., Karilainen L., Kankaanranta M.","This paper presents perspectives on adaptive web-based learning environments, their tasks, functions, techniques and methods. The main categories, types and layers of adaptive learning systems as well as different forms of feedback used in these environments were examined. The significance of feedback becomes emphasized in learning environments because it helps to plan the student's learning path, provide information about their progress, note the important information and guide the student along the learning process. This work introduces an evaluation framework for the analysis of game-based learning environments by the main criteria used in adaptive learning games. The analysis is focused on various learning environments, specifically applications and games for English language learning. The analysis results in an evaluation of 23 game-based learning environments and applications that are developed for the purposes of English learning. The relationship between the feedback types and areas of English learning is presented. © 2015 IEEE.","Inclusion:
Exclusion:
  - Review
Research Question:
  - Elements:
    - Feedback strategy",EXC,2015,"Proceedings - Frontiers in Education Conference, FIE",2014,,Scopus
Affect and willingness to communicate in digital game-based learning,"Reinders, Hayo; Wattana, Sorada","The possible benefits of digital games for language learning and teaching have received increasing interest in recent years. Games are said, amongst others, to be motivating, to lower affective barriers in learning, and to encourage foreign or second language (L2) interaction. But how do learners actually experience the use of games? What impact does gameplay have on students' perceptions of themselves as learners, and how does this affect their learning practice? These questions are important as they are likely to influence the success of digital game-based language learning, and as a result the way teachers might integrate games into the curriculum. In this study we investigated the experiences of five students who had participated in a fifteen-week game-based learning program at a university in Thailand. We conducted six interviews with each of them (for a total of 30 interviews) to identify what impact gameplay had in particular on their willingness to communicate in English (MacIntyre, Dornyei, Clement & Noels, 1998). The results showed that gameplay had a number of benefits for the participants in this study, in particular in terms of lowering their affective barriers to learning and increasing their willingness to communicate. We discuss the implications of these results in terms of further research and classroom practice.","Inclusion:
Exclusion:
  - Review
  - Interviews
Research Question:",EXC,2015,RECALL,27,1,WOS
An Efficient Spectral Element Model with Electric DOFs for the Static and Dynamic Analysis of a Piezoelectric Bimorph,"Dong, Xingjian; Peng, Zhike; Zhang, Wenming; Hua, HongXing; Meng, Guang","An efficient spectral element (SE) model for static and dynamic analysis of a piezoelectric bimorph is proposed. It combines an equivalent single layer (ESL) model for the mechanical displacement field with a sublayer approximation for the electric potential. The 2D Gauss-Lobatto-Legendre (GLL) shape functions are used to discretize the displacements and then the governing equation of motion is derived following the standard SE method procedure. It is shown numerically that the present SE model can well predict both the global and local responses such as mechanical displacements, natural frequencies, and the electric potentials across the bimorph thickness. In the case of bimorph sensor application, it is revealed that the distribution of the induced electric potential across the thickness does not affect the global natural frequencies much. Furthermore, the effects of the order of Legendre polynomial and the mesh size on the convergence rate are investigated. Comparison of the present results for a bimorph sensor with those from 3D finite element (FE) simulations establishes that the present SE model is accurate, robust, and computationally efficient.","Inclusion:
Exclusion:
  - Not Related
Research Question:",EXC,2014,MATHEMATICAL PROBLEMS IN ENGINEERING,,,WOS
An English Learning Method Based on Computer-assisted System,"Bo, Jingyi; Wang, Yubin; Han, Kun","Computer terminology is studied by unit, professional computer knowledge and lexical features, etc. in this paper. An effective game-based learning pattern is generated combined with the characteristics of computer English terms. The computer-assisted English learning system is studied to help students memorize terminology. This learning system could also examine the learning effect after study. The relevant question bank is available to users for game-based examination. The examination result and the statistic score could be kept in the question bank for analysis of the learning effect.","Inclusion:
Exclusion:
  - Validation
Research Question:
  - Elements:
    - No clearly described",EXC,2017,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,12,2,WOS
An Investigation of Game-Embedded Handheld Devices to Enhance English Learning,"Hung, Hui-Chun; Young, Shelley Shwu-Ching","This study proposed and implemented a system combining the advantages of both educational games and wireless handheld technology to promote the interactive English learning in the classroom setting. An interactive English vocabulary acquisition board game was designed with the system being implemented on handheld devices. Thirty sixth-grade elementary students in Northern Taiwan were assigned to the experimental group and the control group and played the game with or without handheld devices. Both quantitative and qualitative data were collected from surveys, interviews, and observations. The results revealed that game-embedded handheld devices could increase the interdependence of the group and lead the learners into better immersion and interactions. We further proposed the cross-device-mediated interaction in the game-embedded face-to-face mobile computer-supported collaborative learning model that could be considered as one of the new literacies in the participatory culture. Six essential elements to develop a successful interactive game-embedded environment were identified from the interplay among the face-to-face environment, handheld devices, and educational game.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Board game
    - Collaboration
    - Communication
    - Competitive
    - Student and teacher client
    - Words building
  - Validation:
    - Experimental/Control group
    - Survey
  - Results:
    - Lead the learners into better immersion and interactions
    - Participating and engaging in English learning",INC,2015,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,52,4,WOS
Applying HOPSCOTCH as an exer-learning game in English lessons: two exploratory studies,"Lucht, Martina; Heidig, Steffi","This article describes HOPSCOTCH, a design concept for an exer-learning game to engage elementary school children in learning. Exer-learning is a new genre of digital learning games that combines playing and learning with physical activity (exercise). HOPSCOTCH is a first design concept for exer-learning games that can be applied to support the acquisition of factual knowledge. HOPSCOTCH is based on the popular playground game in which a course is drawn on the pavement with numbers that indicate the course to be hopped. In two exploratory studies at a German elementary school, we investigated the potential of HOPSCOTCH to engage students, as well as to facilitate the acquisition of factual knowledge (English vocabulary) and to improve the attitudes of students towards learning English as a second language. The results of these studies indicated that the students remembered and correctly spelled about the same number of new vocabulary words after learning with HOPSCOTCH as they did after a teacher-centred lesson. Importantly however, the students enjoyed playing this exer-learning game very much and they reported better attitudes towards studying English after learning vocabulary with HOPSCOTCH compared to a teacher-centred lesson. These encouraging first results support the assumption that HOPSCOTCH as a design concept may have the potential to actively engage players in learning activities leading to a virtuous circle of reduced low level disruption and self-exclusion, increased assimilation of knowledge and greater engagement in lessons to the benefit of the whole class, not just the better-motivated individual. As such we suggest that exer-learning games could serve as additional classroom control and teaching aids in schools.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Physical interaction
    - Additional device to jump
  - Validation:
    - Surveys
    - Traditional lessons vs Gamified lessons
  - Results:
    - Not improvement knowledge
    - Improvement enjoyable",INC,2013,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,61,5,WOS
Applying the Flipped Classroom with Game-Based Learning in Elementary School Students' English Learning,"Tao S.-Y., Huang Y.-H., Tsai M.-J.","Game-based learning can not only lead to learning through the virtual game world but also trigger learner motives via planned gaming processes. Supplemented game-based learning activities not only allow learners to practice repeatedly but also entail them to reach learning objectives. This study aimed to utilize flipped classroom with digital game-based learning activities in elementary school students' English learning. The study investigated the effects of English learning, and the motivation of the experimental group in attention, relevance, confidence, and satisfaction. Results indicate that there were no significant differences between the experimental and control groups. However, the experimental group did show large improvement in learning achievements after game-based flipped learning activities. By looking at the conscious reaction of experimental group toward the flipped classroom with game-based learning, in addition, the research found that participants believed the method could trigger their interest and curiosity in learning, and that the games prepared them for successive learning materials. Moreover, results also show that the game-based learning process could promote their sense of accomplishment in learning, thus encouraging them to continue learning. © 2016 IEEE.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Flipped classroom
    - Adventure game
    - ARCS
  - Validation:
    - Experimental/Control group
    - Pre/Post tests
    - Survey
  - Results:
    - Engagement
    - Learner attitude",INC,2017,"Proceedings - 5th International Conference on Educational Innovation through Technology, EITT 2016",,,Scopus
Between learning and playing? Exploring learners' perceptions of corrective feedback in an immersive game for English pragmatics,"Cornillie, Frederik; Clarebout, Geraldine; Desmet, Piet","This paper aims to provide a rationale for the utility of corrective feedback (CF) in digital games designed for language learning, with specific reference to learners' perceptions. Explicit and elaborate CF has the potential to increase learners' understanding of language, but might not be found useful in a game-based learning environment where the primary focus for the learner is on meaningful interaction and experiential learning. Also, as CF can be perceived as a measure of performance, it could harm learners' perception of competence. Eighty-three learners of English as a foreign language participated in a mixed-method experimental study that aimed to first explore the perceived usefulness of, and preferences for, explicit and implicit CF in an immersive educational game, and to secondly chart the relation between learners' perceptions of CF as they pertain to three individual difference factors related to learners' self-perception, namely intrinsic goal orientation, perceived competence and game experience. Survey and interview data showed that CF was found to be generally useful. A regression model indicated that the three measures of self-perception affected learners' perceptions of explicit CF positively, and that there was no impact on perceptions of implicit CF. Further, learners reported having enjoyed the implicit CF, although they did not find it particularly useful for learning. These findings indicate that the type of CF should be considered in the design of effective and enjoyable educational games.","Inclusion:
Exclusion:
  - Review
  - Corrective feedback
Research Question:",EXC,2012,RECALL,24,,WOS
Can learning motivation predict learning achievement? A case study of a mobile game-based English learning approach,"Tsai, Chia-Hui; Cheng, Ching-Hsue; Yeh, Duen-Yian; Lin, Shih-Yun","This study applied a quasi-experimental design to investigate the influence and predictive power of learner motivation for achievement, employing amobile game-based English learning approach. A system called the Happy English Learning System, integrating learning material into a game-based context, was constructed and installed on mobile devices to conduct the experiment. The sample comprised 38 Taiwanese vocational high school students. The experimental period was 8 weeks. Through statistical methods, the results verified the positive effectiveness of the approach for promoting student English learning motivation and achievement, indicating the partially predictive power of student learning motivation on English achievement. Notably, the results evidenced the necessity of a long experimental period and sufficient external stimulation to enhance student learning effectiveness. Finally, this study proposed several positive suggestions for English learning and teaching in Taiwan vocational education.","Inclusion:
  - Game based learning
  - English teaching
  - Mobile
Exclusion:
Research Question:
  - Elements:
    - Non internet
    - Difficulty levels
    - Discussions on Facebook
  - Validation:
    - Pre/Post tests
    - English learning motivation questionnaire
    - Survey
  - Results:
    - positive effectiveness
    - motivation and achievement increased
    - short experimental period",INC,2017,EDUCATION AND INFORMATION TECHNOLOGIES,22,5,WOS
Clickers in the flipped classroom: bring your own device (BYOD) to promote student learning,"Hung, Hsiu-Ting","Flipped classrooms continue to grow in popularity across all levels of education. Following this pedagogical trend, the present study aimed to enhance the face-to-face instruction in flipped classrooms with the use of clickers. A game-like clicker application was implemented through a bring your own device (BYOD) model to gamify classroom dynamics in the spirit of question-and-answer competitions. A series of flipped learning lessons were created for the study, with clickers integrated into question-and-answer activities associated with each of the lessons as formative assessments to assist students in the learning of English as a foreign language. In this quasi-experimental research, the data were gathered using a summative assessment, a perception survey, and individual interviews. The collected data were then analyzed to compare the students' flipped learning experiences, with or without clicker use. The results indicated that the gamified use of clickers had positive influences on student learning, with regard to their performance, perceptions, and preferences. This study thus suggests that the emerging generation of clicker technology allows for a cost-effective BYOD integration model in flipped classrooms, through which it is possible to seamlessly bridge pre-class and in-class activities and to effectively promote student learning.","Inclusion:
  - Game based learning
  - English teaching
Exclusion:
Research Question:
  - Elements:
    - Clickers
    - Flipped classroom
    - question and answer competition
    - Kahoot!
  - Validation:
    - Experimental/Control group
    - Summative assessment
    - Survey
  - Results:
    - experimental group got a substantially higher average
    - “fun,”“interactive,” and “motivating,”",INC,2017,INTERACTIVE LEARNING ENVIRONMENTS,25,8,WOS
